委托日期,id,买卖方向,委托数量,委托日期,开平仓,证券代码
2020-06-01 09:37:12.000,110,卖,100,2020-06-01 09:37:12.000,开仓,600201
2020-06-01 09:37:12.000,111,买,100,2020-06-01 09:37:12.000,平仓,600258
2020-06-01 09:37:12.000,112,卖,100,2020-06-01 09:37:12.000,开仓,600260
2020-06-01 09:37:12.000,113,卖,100,2020-06-01 09:37:12.000,平仓,600260
2020-06-01 09:37:15.000,114,卖,100,2020-06-01 09:37:15.000,开仓,600037
2020-06-01 09:37:15.000,115,买,100,2020-06-01 09:37:15.000,开仓,600037
2020-06-01 09:37:15.000,116,卖,100,2020-06-01 09:37:15.000,开仓,600060
2020-06-01 09:37:15.000,117,买,100,2020-06-01 09:37:15.000,平仓,600132
2020-06-01 09:37:15.000,118,卖,100,2020-06-01 09:37:15.000,开仓,600195
2020-06-01 09:37:15.000,119,卖,100,2020-06-01 09:37:15.000,开仓,600201
2020-06-01 09:37:18.000,120,卖,100,2020-06-01 09:37:18.000,开仓,600037
2020-06-01 09:37:18.000,121,买,100,2020-06-01 09:37:18.000,开仓,600037
2020-06-01 09:37:18.000,122,卖,100,2020-06-01 09:37:18.000,开仓,600056
2020-06-01 09:37:18.000,123,卖,100,2020-06-01 09:37:18.000,开仓,600195
2020-06-01 09:37:21.000,124,卖,100,2020-06-01 09:37:21.000,开仓,600037
2020-06-01 09:37:21.000,125,买,100,2020-06-01 09:37:21.000,开仓,600037
2020-06-01 09:37:21.000,126,卖,100,2020-06-01 09:37:21.000,开仓,600195
2020-06-01 09:37:21.000,127,卖,100,2020-06-01 09:37:21.000,开仓,600315
2020-06-01 09:37:24.000,128,卖,100,2020-06-01 09:37:24.000,开仓,600037
2020-06-01 09:37:24.000,129,买,100,2020-06-01 09:37:24.000,开仓,600037
2020-06-01 09:37:24.000,130,买,100,2020-06-01 09:37:24.000,平仓,600315
2020-06-01 09:37:27.000,131,卖,100,2020-06-01 09:37:27.000,开仓,600037
2020-06-01 09:37:27.000,132,买,100,2020-06-01 09:37:27.000,开仓,600037
2020-06-01 09:37:27.000,133,卖,100,2020-06-01 09:37:27.000,开仓,600060
2020-06-01 09:37:27.000,134,卖,100,2020-06-01 09:37:27.000,开仓,600132
2020-06-01 09:37:27.000,135,卖,100,2020-06-01 09:37:27.000,开仓,600153
2020-06-01 09:37:27.000,136,买,100,2020-06-01 09:37:27.000,平仓,600161
2020-06-01 09:37:30.000,137,卖,100,2020-06-01 09:37:30.000,开仓,600037
2020-06-01 09:37:30.000,138,买,100,2020-06-01 09:37:30.000,开仓,600037
2020-06-01 09:37:30.000,139,卖,100,2020-06-01 09:37:30.000,开仓,600132
2020-06-01 09:37:30.000,140,卖,100,2020-06-01 09:37:30.000,开仓,600141
2020-06-01 09:37:30.000,141,买,100,2020-06-01 09:37:30.000,平仓,600143
2020-06-01 09:37:33.000,142,卖,100,2020-06-01 09:37:33.000,开仓,600037
2020-06-01 09:37:33.000,143,买,100,2020-06-01 09:37:33.000,开仓,600037
2020-06-01 09:37:33.000,144,卖,100,2020-06-01 09:37:33.000,开仓,600141
2020-06-01 09:37:33.000,145,买,100,2020-06-01 09:37:33.000,开仓,600143
2020-06-01 09:37:33.000,146,买,100,2020-06-01 09:37:33.000,平仓,600143
2020-06-01 09:37:33.000,147,卖,100,2020-06-01 09:37:33.000,开仓,600259
2020-06-01 09:37:36.000,148,卖,100,2020-06-01 09:37:36.000,开仓,600037
2020-06-01 09:37:36.000,149,买,100,2020-06-01 09:37:36.000,开仓,600037
2020-06-01 09:37:36.000,150,卖,100,2020-06-01 09:37:36.000,开仓,600260
2020-06-01 09:37:39.000,151,卖,100,2020-06-01 09:37:39.000,开仓,600037
2020-06-01 09:37:39.000,152,买,100,2020-06-01 09:37:39.000,开仓,600037
2020-06-01 09:37:39.000,153,买,100,2020-06-01 09:37:39.000,开仓,600167
2020-06-01 09:37:39.000,154,买,100,2020-06-01 09:37:39.000,平仓,600315
2020-06-01 09:37:42.000,155,卖,100,2020-06-01 09:37:42.000,开仓,600037
2020-06-01 09:37:42.000,156,买,100,2020-06-01 09:37:42.000,开仓,600037
2020-06-01 09:37:42.000,157,卖,100,2020-06-01 09:37:42.000,开仓,600161
2020-06-01 09:37:42.000,158,买,100,2020-06-01 09:37:42.000,开仓,600201
2020-06-01 09:37:42.000,159,买,100,2020-06-01 09:37:42.000,平仓,600201
2020-06-01 09:37:45.000,160,卖,100,2020-06-01 09:37:45.000,开仓,600037
2020-06-01 09:37:45.000,161,买,100,2020-06-01 09:37:45.000,开仓,600037
2020-06-01 09:37:45.000,162,卖,100,2020-06-01 09:37:45.000,开仓,600132
2020-06-01 09:37:45.000,163,买,100,2020-06-01 09:37:45.000,开仓,600167
2020-06-01 09:37:45.000,164,卖,100,2020-06-01 09:37:45.000,开仓,600171
2020-06-01 09:37:45.000,165,卖,100,2020-06-01 09:37:45.000,开仓,600259
2020-06-01 09:37:48.000,166,卖,100,2020-06-01 09:37:48.000,开仓,600037
2020-06-01 09:37:48.000,167,买,100,2020-06-01 09:37:48.000,开仓,600037
2020-06-01 09:37:48.000,168,卖,100,2020-06-01 09:37:48.000,平仓,600167
2020-06-01 09:37:51.000,169,卖,100,2020-06-01 09:37:51.000,开仓,600037
2020-06-01 09:37:51.000,170,买,100,2020-06-01 09:37:51.000,开仓,600037
2020-06-01 09:37:54.000,171,卖,100,2020-06-01 09:37:54.000,开仓,600037
