,bps,买成交数量,买成交额,卖成交数量,卖成交额
603766,-77.10517416300355,20000.0,73925.0,20000.0,73355.0
603786,28.11733644025427,1440.0,85143.2,1440.0,85382.59999999998
603806,19.502254422310017,6968.0,275742.4800000001,6968.0,276280.24
603816,7.1743303998750285,6098.0,288222.02,6098.0,288428.8
603858,-194.72025397051507,20800.0,500310.05000000005,20800.0,490567.99999999994
603866,-2.5990602595593604,6151.0,306957.1,6151.0,306877.32
603868,85.04130182813708,2348.0,102065.7,2348.0,102933.68000000001
603882,65.59914797902965,9342.0,672959.96,9342.0,677374.5200000001
603883,169.52218550470243,2740.0,224440.24,2740.0,228245.0
603885,14.691402136357556,14942.0,140272.52,14942.0,140478.6
603888,22.452006489330767,3960.0,90548.69999999997,3960.0,90752.00000000001
603939,53.80068534771132,7838.0,602181.9199999999,7838.0,605421.7
603983,196.73967147834315,1630.0,136612.0,1630.0,139299.69999999995
600329,-151.89515010537002,8170.0,130323.44999999998,8170.0,128343.90000000001
000564,-267.3597198513622,15310.0,72875.59999999999,15310.0,70927.2
