,000008,600167,600195,600216
2020-06-02 09:39:27.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:30.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:33.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:36.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:39.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:42.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:45.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:48.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:51.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:54.000,3.01,15.24,14.86,16.63
2020-06-02 09:39:57.000,3.01,15.24,14.86,16.63
2020-06-02 09:40:00.000,3.01,15.24,14.86,16.63
2020-06-02 09:40:03.000,3.01,15.24,14.86,16.63
2020-06-02 09:40:06.000,3.01,15.24,14.86,16.63
2020-06-02 09:40:09.000,3.01,15.24,14.86,16.63
2020-06-02 09:40:12.000,3.01,15.21,14.86,16.63
2020-06-02 09:40:15.000,3.01,15.21,14.86,16.63
2020-06-02 09:40:18.000,3.01,15.19,14.86,16.63
2020-06-02 09:40:21.000,3.01,15.19,14.86,16.63
2020-06-02 09:40:24.000,3.01,15.18,14.86,16.63
2020-06-02 09:40:27.000,3.01,15.16,14.86,16.63
2020-06-02 09:40:30.000,3.01,15.16,14.86,16.63
2020-06-02 09:40:33.000,3.01,15.15,14.86,16.63
2020-06-02 09:40:36.000,3.01,15.15,14.86,16.63
2020-06-02 09:40:39.000,3.01,15.15,14.86,16.63
2020-06-02 09:40:42.000,3.01,15.15,14.86,16.63
2020-06-02 09:40:45.000,3.01,15.15,14.86,16.63
2020-06-02 09:40:48.000,3.01,15.15,14.86,16.63
2020-06-02 09:40:51.000,3.01,15.15,14.86,16.63
2020-06-02 09:40:54.000,3.01,15.15,14.86,16.63
2020-06-02 09:40:57.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:00.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:03.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:06.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:09.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:12.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:15.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:18.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:21.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:24.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:27.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:30.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:33.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:36.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:39.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:42.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:45.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:48.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:51.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:54.000,3.01,15.15,14.86,16.63
2020-06-02 09:41:57.000,3.01,15.15,14.86,16.63
2020-06-02 09:42:00.000,3.01,15.15,14.86,16.63
2020-06-02 09:42:03.000,3.01,15.15,14.86,16.63
2020-06-02 09:42:06.000,3.01,15.15,14.86,16.63
2020-06-02 09:42:09.000,3.01,15.15,14.86,16.63
2020-06-02 09:42:12.000,3.01,15.15,14.86,16.63
2020-06-02 09:42:15.000,3.01,15.15,14.86,16.63
2020-06-02 09:42:18.000,3.01,15.15,14.86,16.63
2020-06-02 09:42:21.000,3.01,15.15,14.86,16.63
2020-06-02 09:42:24.000,3.01,15.15,14.86,16.63
2020-06-02 09:42:27.000,3.01,15.15,14.86,16.63
2020-06-02 09:42:30.000,3.01,15.15,14.86,16.63
